sample_id,ward,ward:color,clade,subtype,subtype:color
M01236,L4-WF,#5ee2a7,1,Singleton,#ffffff
M810885,L5-WK,#9e0142,1,Singleton,#ffffff
M93370,L4-WE,#9af7cc,1,1D,#fc56aa
M93924,L4-WE,#9af7cc,1,1D,#fc56aa
M94927,L2-WD,#fcac63,1,Singleton,#ffffff
M00065,L4-WH,#1f8051,2,Singleton,#ffffff
M00066,L4-WH,#1f8051,2,2C,#4da8ea
M00362,L4-WF,#5ee2a7,2,2B,#e39517
M00363,L1-WA,#6cdcfb,2,2A,#7ad151
M00680,L4-WF,#5ee2a7,2,2A,#7ad151
M00943,L4-WF,#5ee2a7,2,2B,#e39517
M00945,L4-WF,#5ee2a7,2,2A,#7ad151
M01234,L5-WK,#9e0142,2,2A,#7ad151
M01235,LHD-WO,#b19c74,2,2A,#7ad151
M01603,L1-WA,#6cdcfb,2,2A,#7ad151
M05847,L3-WQ,#c09e46,2,Singleton,#ffffff
M06114_3,L1-WN,#715fca,2,2A,#7ad151
M07824,L5-WK,#9e0142,2,2A,#7ad151
M810154,L4-WF,#5ee2a7,2,2B,#e39517
M86159,L5-WK,#9e0142,2,2B,#e39517
M910050,L5-WI,#ff99c4,2,2A,#7ad151
M910478,L4-WF,#5ee2a7,2,2A,#7ad151
M910479,L5-WK,#9e0142,2,2A,#7ad151
M910480_2,L5-WK,#9e0142,2,2A,#7ad151
M910665_1,L2-WD,#fcac63,2,2A,#7ad151
M910881,L4-WF,#5ee2a7,2,2A,#7ad151
M910882,L5-WJ,#f14890,2,2C,#4da8ea
M910888,L3-WQ,#c09e46,2,2A,#7ad151
M911140,L5-WK,#9e0142,2,2A,#7ad151
M911142,L4-WF,#5ee2a7,2,2A,#7ad151
M911144,L3-WQ,#c09e46,2,2A,#7ad151
M911146,L2-WD,#fcac63,2,2A,#7ad151
M911362,L4-WG,#13d479,2,2A,#7ad151
M911364,L2-WC,#ffe2af,2,2A,#7ad151
M911373,L4-WG,#13d479,2,2A,#7ad151
M911374,LHD-WO,#b19c74,2,2A,#7ad151
M911375,L3-WQ,#c09e46,2,2A,#7ad151
M911619,L3-WQ,#c09e46,2,2A,#7ad151
M911620,L4-WF,#5ee2a7,2,2A,#7ad151
M911842,L5-WK,#9e0142,2,2A,#7ad151
M912102,L4-WF,#5ee2a7,2,2B,#e39517
M912103,L2-WC,#ffe2af,2,2A,#7ad151
M912106,L4-WF,#5ee2a7,2,2B,#e39517
M91414,L3-WQ,#c09e46,2,2C,#4da8ea
M94211,L4-WF,#5ee2a7,2,2B,#e39517
M94926,L2-WD,#fcac63,2,2B,#e39517
M95768,L1-WB,#279fc1,2,2A,#7ad151
M96011,LHC-WP,#b9b9b9,2,Singleton,#ffffff
M96902,L4-WH,#1f8051,2,2B,#e39517
M97750,L3-WM,#ebd854,2,2A,#7ad151
M97944,L5-WK,#9e0142,2,2A,#7ad151
M97945,L5-WK,#9e0142,2,2A,#7ad151
M98146,L2-WC,#ffe2af,2,2A,#7ad151
M98147,L2-WD,#fcac63,2,2A,#7ad151
M98516,L4-WF,#5ee2a7,2,2A,#7ad151
M98703,LSI-WR,#e0f3a0,2,2A,#7ad151
M98884,L2-WD,#fcac63,2,2A,#7ad151
M98889,L4-WF,#5ee2a7,2,2A,#7ad151
M99250,L3-WQ,#c09e46,2,2A,#7ad151
M99402,L3-WQ,#c09e46,2,2A,#7ad151
M99624,L4-WH,#1f8051,2,Singleton,#ffffff
M99825,LGA-WL,#c8bbb0,2,2A,#7ad151
M99826,L3-WQ,#c09e46,2,2C,#4da8ea
